@relation csvPartidos

@attribute surface {Hard,Clay,Grass}
@attribute P1_hand {R,L,U}
@attribute P2_hand {R,L,U}
@attribute P1_ht numeric
@attribute P2_ht numeric
@attribute P1_age numeric
@attribute P2_age numeric
@attribute P1_ace numeric
@attribute P2_ace numeric
@attribute P1_df numeric
@attribute P2_df numeric
@attribute P1_svpt numeric
@attribute P2_svpt numeric
@attribute P1_1stIn numeric
@attribute P2_1stIn numeric
@attribute P1_1stWon numeric
@attribute P2_1stWon numeric
@attribute P1_2ndWon numeric
@attribute P2_2ndWon numeric
@attribute P1_SvGms numeric
@attribute P2_SvGms numeric
@attribute P1_bpSaved numeric
@attribute P2_bpSaved numeric
@attribute P1_rank numeric
@attribute P2_rank numeric
@attribute P1_bpFaced numeric
@attribute P2_bpFaced numeric
@attribute WINNER {P1,P2}

@data
Hard,R,R,188,188,31.36,26.83,7,10,2,7,127,130,86,78,60,54,26,23,20,19,2,7,60,74,4,12,P1
Hard,R,L,185,?,25.89,27.51,4,11,2,3,102,119,61,67,46,42,21,24,18,18,5,10,61,102,9,16,P1
Hard,L,R,?,185,30,23.89,11,14,2,6,166,137,108,85,73,61,38,29,22,22,12,4,117,18,14,8,P1
Hard,L,R,?,178,22.3,34.25,3,8,2,4,116,122,79,68,50,42,17,22,19,19,11,11,168,29,17,19,P1
Hard,R,L,190,?,33.9,18.74,2,5,2,5,121,101,68,62,48,35,24,17,18,17,6,7,76,155,11,15,P1
Hard,R,R,208,?,38.88,22.62,21,9,9,1,118,107,74,73,64,54,21,19,17,16,7,7,89,85,8,9,P1
Hard,R,R,173,185,29.33,25.31,14,6,4,7,121,112,71,69,53,47,30,17,21,19,7,2,41,9,12,9,P1
Hard,R,L,185,185,24.37,27.67,15,3,5,1,111,90,69,55,54,39,21,20,15,15,6,5,5,56,6,8,P1
Hard,R,R,180,188,25.41,28.06,9,13,5,9,130,137,74,65,55,46,36,37,21,20,2,6,190,48,4,11,P1
Hard,L,R,?,?,24.52,23.66,15,1,2,0,86,85,62,59,46,37,17,16,14,14,5,2,64,225,5,6,P1
Hard,L,U,183,?,29.55,21.76,1,12,2,2,78,79,47,48,40,37,21,17,15,15,1,1,27,130,1,4,P1
Hard,L,R,188,183,34.17,29.75,10,1,5,1,77,107,54,80,45,46,11,11,15,16,2,4,40,21,4,11,P1
Hard,L,L,?,183,22.59,27.27,8,1,0,7,66,89,36,61,28,34,20,9,12,13,1,11,94,83,2,18,P1
Hard,R,R,?,188,26.49,30.92,12,6,1,4,89,86,69,54,56,42,11,13,15,15,2,2,97,84,2,5,P1
